ts,wired,nyt,guardian,popsci,healthday,newsmed,medpage
2021-04-14 22:00:03.483129,113 (+0),502 (+0),487 (+2),261 (+0),511 (+0),706 (+10),360 (+0)
2021-04-14 23:00:03.712664,113 (+0),502 (+0),487 (+0),261 (+0),511 (+0),716 (+10),360 (+0)
2021-04-15 00:00:07.452858,113 (+0),502 (+0),487 (+0),261 (+0),511 (+0),722 (+6),360 (+0)
2021-04-15 01:00:03.393964,113 (+0),502 (+0),487 (+0),261 (+0),511 (+0),722 (+0),360 (+0)
2021-04-15 02:00:03.917275,113 (+0),502 (+0),487 (+0),261 (+0),511 (+0),722 (+0),360 (+0)
2021-04-15 03:00:03.795506,113 (+0),504 (+2),487 (+0),261 (+0),511 (+0),723 (+1),360 (+0)
2021-04-15 04:00:03.311033,113 (+0),504 (+0),488 (+1),261 (+0),511 (+0),727 (+4),360 (+0)
2021-04-15 05:00:03.888824,113 (+0),504 (+0),488 (+0),261 (+0),513 (+2),733 (+6),360 (+0)
2021-04-15 06:00:03.091604,114 (+1),506 (+2),488 (+0),261 (+0),521 (+8),739 (+6),360 (+0)
2021-04-15 07:00:03.452336,114 (+0),509 (+3),488 (+0),261 (+0),521 (+0),744 (+5),361 (+1)
2021-04-15 08:00:03.628039,114 (+0),510 (+1),488 (+0),261 (+0),521 (+0),746 (+2),362 (+1)
2021-04-15 09:00:03.044692,114 (+0),512 (+2),490 (+2),261 (+0),525 (+4),746 (+0),365 (+3)
2021-04-15 10:00:03.708682,114 (+0),513 (+1),491 (+1),261 (+0),526 (+1),747 (+1),366 (+1)
2021-04-15 11:00:02.904817,114 (+0),513 (+0),491 (+0),261 (+0),535 (+9),752 (+5),367 (+1)
2021-04-15 12:00:03.681054,114 (+0),515 (+2),492 (+1),261 (+0),537 (+2),752 (+0),368 (+1)
2021-04-15 13:00:03.141957,115 (+1),516 (+1),492 (+0),261 (+0),537 (+0),752 (+0),368 (+0)
2021-04-15 14:00:03.945948,115 (+0),519 (+3),493 (+1),271 (+10),537 (+0),752 (+0),370 (+2)
2021-04-15 15:00:03.414827,115 (+0),520 (+1),493 (+0),271 (+0),539 (+2),752 (+0),372 (+2)
2021-04-15 16:00:03.797614,115 (+0),520 (+0),493 (+0),271 (+0),539 (+0),752 (+0),374 (+2)
2021-04-15 17:00:03.818409,115 (+0),520 (+0),493 (+0),271 (+0),539 (+0),752 (+0),375 (+1)
2021-04-15 18:00:04.013053,115 (+0),520 (+0),493 (+0),271 (+0),539 (+0),759 (+7),375 (+0)
2021-04-15 19:00:03.059802,115 (+0),520 (+0),493 (+0),271 (+0),539 (+0),767 (+8),375 (+0)
2021-04-15 20:00:03.884008,115 (+0),520 (+0),493 (+0),271 (+0),539 (+0),767 (+0),375 (+0)
2021-04-15 21:00:03.468977,115 (+0),520 (+0),493 (+0),271 (+0),539 (+0),772 (+5),375 (+0)
2021-04-15 22:00:03.797801,115 (+0),520 (+0),493 (+0),271 (+0),539 (+0),782 (+10),375 (+0)
2021-04-15 23:00:03.229622,115 (+0),520 (+0),494 (+1),271 (+0),539 (+0),792 (+10),375 (+0)
2021-04-16 00:00:09.128878,115 (+0),520 (+0),494 (+0),271 (+0),539 (+0),794 (+2),375 (+0)
2021-04-16 01:00:03.867939,115 (+0),520 (+0),494 (+0),271 (+0),539 (+0),794 (+0),375 (+0)
2021-04-16 02:00:03.883754,115 (+0),520 (+0),494 (+0),271 (+0),539 (+0),794 (+0),375 (+0)
2021-04-16 03:00:03.182260,115 (+0),521 (+1),494 (+0),271 (+0),539 (+0),796 (+2),375 (+0)
2021-04-16 04:00:03.694796,115 (+0),521 (+0),494 (+0),271 (+0),539 (+0),803 (+7),375 (+0)
2021-04-16 05:00:03.402283,116 (+1),521 (+0),495 (+1),271 (+0),541 (+2),806 (+3),375 (+0)
2021-04-16 06:00:03.942548,116 (+0),524 (+3),495 (+0),271 (+0),550 (+9),808 (+2),375 (+0)
2021-04-16 07:00:03.879880,117 (+1),524 (+0),496 (+1),271 (+0),550 (+0),812 (+4),377 (+2)
2021-04-16 08:00:03.633951,117 (+0),525 (+1),496 (+0),271 (+0),550 (+0),818 (+6),379 (+2)
2021-04-16 09:00:03.750089,117 (+0),525 (+0),497 (+1),271 (+0),551 (+1),818 (+0),380 (+1)
2021-04-16 10:00:03.863353,117 (+0),525 (+0),497 (+0),271 (+0),555 (+4),819 (+1),381 (+1)
2021-04-16 11:00:03.200978,117 (+0),526 (+1),497 (+0),271 (+0),556 (+1),821 (+2),382 (+1)
2021-04-16 12:00:03.469514,118 (+1),526 (+0),497 (+0),271 (+0),556 (+0),821 (+0),383 (+1)
2021-04-16 13:00:03.762732,118 (+0),526 (+0),498 (+1),271 (+0),564 (+8),821 (+0),384 (+1)
2021-04-16 14:00:03.500394,118 (+0),526 (+0),498 (+0),271 (+0),566 (+2),821 (+0),384 (+0)
2021-04-16 15:00:03.132129,118 (+0),528 (+2),499 (+1),271 (+0),567 (+1),821 (+0),385 (+1)
2021-04-16 16:00:03.592096,118 (+0),530 (+2),499 (+0),271 (+0),567 (+0),821 (+0),387 (+2)
2021-04-16 17:00:03.532109,118 (+0),532 (+2),499 (+0),271 (+0),567 (+0),821 (+0),388 (+1)
